label,sublabel,description,styles,bgcolor
プラスチック,,,img/moyasanai02.svg,#733b96
燃えるごみ,,,img/moyasu02.svg,#ea3b13
びん・缶・ペットボトル・われもの・有害ごみ,,,img/bin02.svg,#2dc7aa
